dataset,max_leaf_nodes,seed,CART,HS-CART,best_lambda_tree,RF,HS-RF,best_lambda_rf
"wine (3-class, accuracy)",16,6,0.9259259259259259,0.9259259259259259,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",16,7,0.9444444444444444,0.9444444444444444,0.1,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",16,8,0.8333333333333334,0.7962962962962963,50.0,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",16,9,0.9074074074074074,0.9074074074074074,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",32,0,0.9814814814814815,0.8703703703703703,200.0,1.0,1.0,25.0
"wine (3-class, accuracy)",32,1,0.9629629629629629,0.9629629629629629,0.1,1.0,1.0,25.0
"wine (3-class, accuracy)",32,2,0.9444444444444444,0.9444444444444444,200.0,1.0,1.0,0.1
"wine (3-class, accuracy)",32,3,0.9074074074074074,0.8888888888888888,100.0,0.9814814814814815,0.9629629629629629,0.1
"wine (3-class, accuracy)",32,4,0.9814814814814815,0.9814814814814815,25.0,1.0,1.0,50.0
"wine (3-class, accuracy)",32,5,0.8888888888888888,0.8888888888888888,0.1,0.9444444444444444,0.9444444444444444,0.1
"wine (3-class, accuracy)",32,6,0.9259259259259259,0.9259259259259259,0.1,0.9814814814814815,0.9814814814814815,25.0
"wine (3-class, accuracy)",32,7,0.9444444444444444,0.9444444444444444,0.1,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",32,8,0.8333333333333334,0.7962962962962963,50.0,0.9814814814814815,0.9814814814814815,0.1
"wine (3-class, accuracy)",32,9,0.9074074074074074,0.9074074074074074,0.1,0.9814814814814815,0.9814814814814815,25.0
"diabetes (regression, R2)",4,0,0.2102166624565578,0.23048623291142722,10.0,0.33654900591329817,0.33660437012983824,0.1
"diabetes (regression, R2)",4,1,0.10513707197003586,0.13717997257392867,25.0,0.2368551097032766,0.2369128634391926,0.1
"diabetes (regression, R2)",4,2,0.3798376152503734,0.3701619917712109,50.0,0.3919023783858865,0.3918784429228954,0.1
"diabetes (regression, R2)",4,3,0.2552630294759126,0.2785600126563541,50.0,0.3896188263843735,0.3896005564426446,0.1
"diabetes (regression, R2)",4,4,0.39834750144300146,0.38713116613739607,50.0,0.44002285530746477,0.4399628018548577,0.1
"diabetes (regression, R2)",4,5,0.3254348097536931,0.33326295437286513,50.0,0.44602326833910155,0.4459676249222514,0.1
"diabetes (regression, R2)",4,6,0.29451876077285777,0.30828509873825427,25.0,0.40716880555160295,0.4071386093408913,0.1
"diabetes (regression, R2)",4,7,0.3844262077125178,0.37577005629021787,50.0,0.4693587400628688,0.46929548777702734,0.1
"diabetes (regression, R2)",4,8,0.2553807956522416,0.27419233135074106,25.0,0.35766013697684407,0.3576753471337911,0.1
"diabetes (regression, R2)",4,9,0.40290246573261257,0.39717427103582104,25.0,0.44789187806355724,0.44783045639877783,0.1
"diabetes (regression, R2)",8,0,0.19548851877335904,0.2627749568852462,25.0,0.3413730321798766,0.3435479774313813,2.0
"diabetes (regression, R2)",8,1,0.17664237299479613,0.20140192800230605,25.0,0.2572623202733285,0.25924498891015235,2.0
"diabetes (regression, R2)",8,2,0.3138930061568348,0.3660711528433547,50.0,0.40565803036916714,0.40567526965657286,0.1
"diabetes (regression, R2)",8,3,0.33546668813272007,0.36853582802763774,25.0,0.3989656128357749,0.3994712268442596,1.0
"diabetes (regression, R2)",8,4,0.34304804914753584,0.38265651822133095,50.0,0.4546461342370145,0.45452074167347956,2.0
"diabetes (regression, R2)",8,5,0.3034486295984872,0.3518369421644123,50.0,0.47604029706278417,0.4740287939690917,5.0
"diabetes (regression, R2)",8,6,0.24103736787301056,0.31215666244570217,50.0,0.4006440939453433,0.40068484498665125,0.1
"diabetes (regression, R2)",8,7,0.3947159776994883,0.4143672597375061,50.0,0.4924701928364382,0.49220291086244883,1.0
"diabetes (regression, R2)",8,8,0.2703080470403322,0.3051106494220407,25.0,0.3717975121505216,0.3718204235875856,0.1
"diabetes (regression, R2)",8,9,0.387757076771694,0.40681661585051143,50.0,0.5103366806751309,0.5093195929533471,1.0
"diabetes (regression, R2)",16,0,0.031135456057280075,0.19386730496180626,25.0,0.3176594324815608,0.33418858891786407,10.0
"diabetes (regression, R2)",16,1,0.13393014328822506,0.21550283840092166,50.0,0.25924297334094104,0.2731094860394818,10.0
"diabetes (regression, R2)",16,2,0.2093781176984627,0.3687306525785996,50.0,0.4065208976247342,0.40925863879826496,5.0
"diabetes (regression, R2)",16,3,0.20036227466716927,0.34960491013809103,50.0,0.392616642648118,0.4018070809237333,10.0
"diabetes (regression, R2)",16,4,0.2374369187170361,0.37709120172641897,50.0,0.4417661946192507,0.44658242769179823,10.0
"diabetes (regression, R2)",16,5,0.1876285235885855,0.35864939733197343,50.0,0.48543185359761787,0.4726046138112603,25.0
"diabetes (regression, R2)",16,6,0.1651279740473668,0.3085895826614391,50.0,0.39101248126057253,0.39217990697263316,1.0
"diabetes (regression, R2)",16,7,0.3675031471898227,0.4375192993331031,50.0,0.49938416399245567,0.5001412496920782,5.0
"diabetes (regression, R2)",16,8,0.06366074038959624,0.2773829448031033,50.0,0.36544532478545944,0.37047884761002736,5.0
"diabetes (regression, R2)",16,9,0.35151938082223033,0.42943179993149827,50.0,0.5135731410000548,0.5074646517819961,10.0
"diabetes (regression, R2)",32,0,0.029797575598017323,0.2333562421799409,25.0,0.29276445437494447,0.32046857057602496,10.0
"diabetes (regression, R2)",32,1,-0.04428005507462096,0.17919911927437737,50.0,0.2551707677496624,0.27099158887530894,10.0
"diabetes (regression, R2)",32,2,0.037774409262088304,0.3330769057074958,50.0,0.4008626494053046,0.40752882274007596,10.0
"diabetes (regression, R2)",32,3,0.07490546942769638,0.33778469221528173,50.0,0.38468581237398514,0.39976622658016736,10.0
"diabetes (regression, R2)",32,4,0.008096232462086128,0.36188004989172207,100.0,0.424651863928321,0.4372269057099286,10.0
"diabetes (regression, R2)",32,5,0.08102423315415574,0.3463917839723396,50.0,0.4781957606021381,0.47235232577140185,25.0
"diabetes (regression, R2)",32,6,0.04567805577940931,0.2978164815009816,50.0,0.379401444455017,0.38917435168998016,5.0
"diabetes (regression, R2)",32,7,0.26397128833402295,0.4455422325531929,50.0,0.4844244698206075,0.4909610623595454,5.0
"diabetes (regression, R2)",32,8,-0.007842342309179795,0.26875271365001174,50.0,0.3440934218227315,0.36182374139575424,10.0
"diabetes (regression, R2)",32,9,0.2796535446920313,0.4155080356904116,50.0,0.506712642482887,0.5043206276349781,10.0
